scraped_waittimes,hospital_webpage,total_minutes,read_timestamp,site_labels
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T12:56:27Z,Atrium Health Stanly
"
                                            Estimated Wait Time:22 Minutes
",Atrium,22,2020-03-12T12:56:27Z,Atrium Health Steele Creek
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T12:56:27Z,Atrium Health Union
"
                                            Estimated Wait Time:43 Minutes
",Atrium,43,2020-03-12T12:56:27Z,Atrium Health University City
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T12:56:27Z,Atrium Health Waxhaw
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T12:56:27Z,Carolinas HealthCare System Blue Ridge-Morganton
"
                                            Estimated Wait Time:18 Minutes
",Atrium,18,2020-03-12T12:56:27Z,Carolinas HealthCare System Blue Ridge-Valdese
"
                                            Estimated Wait Time:27 Minutes
",Atrium,27,2020-03-12T12:56:27Z,Carolinas Medical Center
"
                                            Estimated Wait Time:16 Minutes
",Atrium,16,2020-03-12T12:56:27Z,Levine Children's Hospital
24,Mary Washington,24,2020-03-12T12:56:26Z,Lee's Hill Emergency
16,Mary Washington,16,2020-03-12T12:56:26Z,Mary Washington Hospital
32,Mary Washington,32,2020-03-12T12:56:26Z,Stafford Hospital
"
                                            Estimated Wait Time: 1 hours 20 Minutes
",Atrium,80,2020-03-12T14:23:11Z,Atrium Health Anson
"
                                            Estimated Wait Time:18 Minutes
",Atrium,18,2020-03-12T14:23:11Z,Atrium Health Cabarrus
"
                                            Estimated Wait Time:20 Minutes
",Atrium,20,2020-03-12T14:23:11Z,Atrium Health Cleveland
"
                                            Estimated Wait Time:53 Minutes
",Atrium,53,2020-03-12T14:23:11Z,"Atrium Health Harrisburg Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:38 Minutes
",Atrium,38,2020-03-12T14:23:11Z,Atrium Health Huntersville
"
                                            Estimated Wait Time:32 Minutes
",Atrium,32,2020-03-12T14:23:11Z,"Atrium Health Kannapolis Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T14:23:11Z,"Atrium Health Kings Mountain, a facility of Atrium Health Cleveland"
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T14:23:11Z,Atrium Health Lincoln
"
                                            Estimated Wait Time:21 Minutes
",Atrium,21,2020-03-12T14:23:11Z,"Atrium Health Mercy, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time: 1 hours
",Atrium,NA,2020-03-12T14:23:11Z,Atrium Health Pineville
"
                                            Estimated Wait Time:33 Minutes
",Atrium,33,2020-03-12T14:23:11Z,"Atrium Health SouthPark Emergency Department, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time:18 Minutes
",Atrium,18,2020-03-12T14:23:11Z,Atrium Health Stanly
"
                                            Estimated Wait Time:25 Minutes
",Atrium,25,2020-03-12T14:23:11Z,Atrium Health Steele Creek
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T14:23:11Z,Atrium Health Union
"
                                            Estimated Wait Time: 1 hours 49 Minutes
",Atrium,109,2020-03-12T14:23:11Z,Atrium Health University City
"
                                            Estimated Wait Time:17 Minutes
",Atrium,17,2020-03-12T14:23:11Z,Atrium Health Waxhaw
"
                                            Estimated Wait Time:21 Minutes
",Atrium,21,2020-03-12T14:23:11Z,Carolinas HealthCare System Blue Ridge-Morganton
"
                                            Estimated Wait Time:49 Minutes
",Atrium,49,2020-03-12T14:23:11Z,Carolinas HealthCare System Blue Ridge-Valdese
"
                                            Estimated Wait Time:28 Minutes
",Atrium,28,2020-03-12T14:23:11Z,Carolinas Medical Center
"
                                            Estimated Wait Time:30 Minutes
",Atrium,30,2020-03-12T14:23:11Z,Levine Children's Hospital
27,Mary Washington,27,2020-03-12T14:23:10Z,Lee's Hill Emergency
19,Mary Washington,19,2020-03-12T14:23:10Z,Mary Washington Hospital
32,Mary Washington,32,2020-03-12T14:23:10Z,Stafford Hospital
"
                                            Estimated Wait Time:31 Minutes
",Atrium,31,2020-03-12T14:49:16Z,Atrium Health Anson
"
                                            Estimated Wait Time:21 Minutes
",Atrium,21,2020-03-12T14:49:16Z,Atrium Health Cabarrus
"
                                            Estimated Wait Time:18 Minutes
",Atrium,18,2020-03-12T14:49:16Z,Atrium Health Cleveland
"
                                            Estimated Wait Time:46 Minutes
",Atrium,46,2020-03-12T14:49:16Z,"Atrium Health Harrisburg Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:29 Minutes
",Atrium,29,2020-03-12T14:49:16Z,Atrium Health Huntersville
"
                                            Estimated Wait Time:38 Minutes
",Atrium,38,2020-03-12T14:49:16Z,"Atrium Health Kannapolis Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T14:49:16Z,"Atrium Health Kings Mountain, a facility of Atrium Health Cleveland"
"
                                            Estimated Wait Time:18 Minutes
",Atrium,18,2020-03-12T14:49:16Z,Atrium Health Lincoln
"
                                            Estimated Wait Time:17 Minutes
",Atrium,17,2020-03-12T14:49:16Z,"Atrium Health Mercy, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time:41 Minutes
",Atrium,41,2020-03-12T14:49:16Z,Atrium Health Pineville
"
                                            Estimated Wait Time:22 Minutes
",Atrium,22,2020-03-12T14:49:16Z,"Atrium Health SouthPark Emergency Department, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T14:49:16Z,Atrium Health Stanly
"
                                            Estimated Wait Time:25 Minutes
",Atrium,25,2020-03-12T14:49:16Z,Atrium Health Steele Creek
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T14:49:16Z,Atrium Health Union
"
                                            Estimated Wait Time: 1 hours 25 Minutes
",Atrium,85,2020-03-12T14:49:16Z,Atrium Health University City
"
                                            Estimated Wait Time:18 Minutes
",Atrium,18,2020-03-12T14:49:16Z,Atrium Health Waxhaw
"
                                            Estimated Wait Time:21 Minutes
",Atrium,21,2020-03-12T14:49:16Z,Carolinas HealthCare System Blue Ridge-Morganton
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T14:49:16Z,Carolinas HealthCare System Blue Ridge-Valdese
"
                                            Estimated Wait Time:23 Minutes
",Atrium,23,2020-03-12T14:49:16Z,Carolinas Medical Center
"
                                            Estimated Wait Time:34 Minutes
",Atrium,34,2020-03-12T14:49:16Z,Levine Children's Hospital
29,Mary Washington,29,2020-03-12T14:49:15Z,Lee's Hill Emergency
21,Mary Washington,21,2020-03-12T14:49:15Z,Mary Washington Hospital
30,Mary Washington,30,2020-03-12T14:49:15Z,Stafford Hospital
"
                                            Estimated Wait Time:20 Minutes
",Atrium,20,2020-03-12T21:07:43Z,Atrium Health Anson
"
                                            Estimated Wait Time:45 Minutes
",Atrium,45,2020-03-12T21:07:43Z,Atrium Health Cabarrus
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T21:07:43Z,Atrium Health Cleveland
"
                                            Estimated Wait Time:43 Minutes
",Atrium,43,2020-03-12T21:07:43Z,"Atrium Health Harrisburg Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:40 Minutes
",Atrium,40,2020-03-12T21:07:43Z,Atrium Health Huntersville
"
                                            Estimated Wait Time:47 Minutes
",Atrium,47,2020-03-12T21:07:43Z,"Atrium Health Kannapolis Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time: 1 hours 13 Minutes
",Atrium,73,2020-03-12T21:07:43Z,"Atrium Health Kings Mountain, a facility of Atrium Health Cleveland"
"
                                            Estimated Wait Time:35 Minutes
",Atrium,35,2020-03-12T21:07:43Z,Atrium Health Lincoln
"
                                            Estimated Wait Time:45 Minutes
",Atrium,45,2020-03-12T21:07:43Z,"Atrium Health Mercy, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time:51 Minutes
",Atrium,51,2020-03-12T21:07:43Z,Atrium Health Pineville
"
                                            Estimated Wait Time: 1 hours 2 Minutes
",Atrium,62,2020-03-12T21:07:43Z,"Atrium Health SouthPark Emergency Department, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T21:07:43Z,Atrium Health Stanly
"
                                            Estimated Wait Time:26 Minutes
",Atrium,26,2020-03-12T21:07:43Z,Atrium Health Steele Creek
"
                                            Estimated Wait Time:43 Minutes
",Atrium,43,2020-03-12T21:07:43Z,Atrium Health Union
"
                                            Estimated Wait Time:40 Minutes
",Atrium,40,2020-03-12T21:07:43Z,Atrium Health University City
"
                                            Estimated Wait Time:40 Minutes
",Atrium,40,2020-03-12T21:07:43Z,Atrium Health Waxhaw
"
                                            Estimated Wait Time:53 Minutes
",Atrium,53,2020-03-12T21:07:43Z,Carolinas HealthCare System Blue Ridge-Morganton
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T21:07:43Z,Carolinas HealthCare System Blue Ridge-Valdese
"
                                            Estimated Wait Time:36 Minutes
",Atrium,36,2020-03-12T21:07:43Z,Carolinas Medical Center
"
                                            Estimated Wait Time:34 Minutes
",Atrium,34,2020-03-12T21:07:43Z,Levine Children's Hospital
39,Mary Washington,39,2020-03-12T21:07:42Z,Lee's Hill Emergency
16,Mary Washington,16,2020-03-12T21:07:42Z,Mary Washington Hospital
28,Mary Washington,28,2020-03-12T21:07:42Z,Stafford Hospital
"
                                            Estimated Wait Time:20 Minutes
",Atrium,20,2020-03-12T21:45:34Z,Atrium Health Anson
"
                                            Estimated Wait Time:35 Minutes
",Atrium,35,2020-03-12T21:45:34Z,Atrium Health Cabarrus
"
                                            Estimated Wait Time:26 Minutes
",Atrium,26,2020-03-12T21:45:34Z,Atrium Health Cleveland
"
                                            Estimated Wait Time:57 Minutes
",Atrium,57,2020-03-12T21:45:34Z,"Atrium Health Harrisburg Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:31 Minutes
",Atrium,31,2020-03-12T21:45:34Z,Atrium Health Huntersville
"
                                            Estimated Wait Time: 1 hours 8 Minutes
",Atrium,68,2020-03-12T21:45:34Z,"Atrium Health Kannapolis Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time: 1 hours 3 Minutes
",Atrium,63,2020-03-12T21:45:34Z,"Atrium Health Kings Mountain, a facility of Atrium Health Cleveland"
"
                                            Estimated Wait Time:51 Minutes
",Atrium,51,2020-03-12T21:45:34Z,Atrium Health Lincoln
"
                                            Estimated Wait Time:28 Minutes
",Atrium,28,2020-03-12T21:45:34Z,"Atrium Health Mercy, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time:49 Minutes
",Atrium,49,2020-03-12T21:45:34Z,Atrium Health Pineville
"
                                            Estimated Wait Time: 1 hours 15 Minutes
",Atrium,75,2020-03-12T21:45:34Z,"Atrium Health SouthPark Emergency Department, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T21:45:34Z,Atrium Health Stanly
"
                                            Estimated Wait Time:23 Minutes
",Atrium,23,2020-03-12T21:45:34Z,Atrium Health Steele Creek
"
                                            Estimated Wait Time:46 Minutes
",Atrium,46,2020-03-12T21:45:34Z,Atrium Health Union
"
                                            Estimated Wait Time:41 Minutes
",Atrium,41,2020-03-12T21:45:34Z,Atrium Health University City
"
                                            Estimated Wait Time:55 Minutes
",Atrium,55,2020-03-12T21:45:34Z,Atrium Health Waxhaw
"
                                            Estimated Wait Time: 1 hours 4 Minutes
",Atrium,64,2020-03-12T21:45:34Z,Carolinas HealthCare System Blue Ridge-Morganton
"
                                            Estimated Wait Time:22 Minutes
",Atrium,22,2020-03-12T21:45:34Z,Carolinas HealthCare System Blue Ridge-Valdese
"
                                            Estimated Wait Time:31 Minutes
",Atrium,31,2020-03-12T21:45:34Z,Carolinas Medical Center
"
                                            Estimated Wait Time:34 Minutes
",Atrium,34,2020-03-12T21:45:34Z,Levine Children's Hospital
63,Mary Washington,63,2020-03-12T21:45:34Z,Lee's Hill Emergency
17,Mary Washington,17,2020-03-12T21:45:34Z,Mary Washington Hospital
24,Mary Washington,24,2020-03-12T21:45:34Z,Stafford Hospital
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T22:35:16Z,Atrium Health Anson
"
                                            Estimated Wait Time:35 Minutes
",Atrium,35,2020-03-12T22:35:16Z,Atrium Health Cabarrus
"
                                            Estimated Wait Time: 1 hours 3 Minutes
",Atrium,63,2020-03-12T22:35:16Z,Atrium Health Cleveland
"
                                            Estimated Wait Time:37 Minutes
",Atrium,37,2020-03-12T22:35:16Z,"Atrium Health Harrisburg Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:28 Minutes
",Atrium,28,2020-03-12T22:35:16Z,Atrium Health Huntersville
"
                                            Estimated Wait Time: More than 2 hours
",Atrium,NA,2020-03-12T22:35:16Z,"Atrium Health Kannapolis Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:54 Minutes
",Atrium,54,2020-03-12T22:35:16Z,"Atrium Health Kings Mountain, a facility of Atrium Health Cleveland"
"
                                            Estimated Wait Time: 1 hours 13 Minutes
",Atrium,73,2020-03-12T22:35:16Z,Atrium Health Lincoln
"
                                            Estimated Wait Time:26 Minutes
",Atrium,26,2020-03-12T22:35:16Z,"Atrium Health Mercy, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time:59 Minutes
",Atrium,59,2020-03-12T22:35:16Z,Atrium Health Pineville
"
                                            Estimated Wait Time: More than 2 hours
",Atrium,NA,2020-03-12T22:35:16Z,"Atrium Health SouthPark Emergency Department, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T22:35:16Z,Atrium Health Stanly
"
                                            Estimated Wait Time:25 Minutes
",Atrium,25,2020-03-12T22:35:16Z,Atrium Health Steele Creek
"
                                            Estimated Wait Time: 1 hours 16 Minutes
",Atrium,76,2020-03-12T22:35:16Z,Atrium Health Union
"
                                            Estimated Wait Time: 1 hours 2 Minutes
",Atrium,62,2020-03-12T22:35:16Z,Atrium Health University City
"
                                            Estimated Wait Time:56 Minutes
",Atrium,56,2020-03-12T22:35:16Z,Atrium Health Waxhaw
"
                                            Estimated Wait Time: 1 hours 27 Minutes
",Atrium,87,2020-03-12T22:35:16Z,Carolinas HealthCare System Blue Ridge-Morganton
"
                                            Estimated Wait Time:34 Minutes
",Atrium,34,2020-03-12T22:35:16Z,Carolinas HealthCare System Blue Ridge-Valdese
"
                                            Estimated Wait Time:36 Minutes
",Atrium,36,2020-03-12T22:35:16Z,Carolinas Medical Center
"
                                            Estimated Wait Time:51 Minutes
",Atrium,51,2020-03-12T22:35:16Z,Levine Children's Hospital
60,Mary Washington,60,2020-03-12T22:35:15Z,Lee's Hill Emergency
18,Mary Washington,18,2020-03-12T22:35:15Z,Mary Washington Hospital
14,Mary Washington,14,2020-03-12T22:35:15Z,Stafford Hospital
"
                                            Estimated Wait Time:21 Minutes
",Atrium,21,2020-03-12T22:51:01Z,Atrium Health Anson
"
                                            Estimated Wait Time:30 Minutes
",Atrium,30,2020-03-12T22:51:01Z,Atrium Health Cabarrus
"
                                            Estimated Wait Time:46 Minutes
",Atrium,46,2020-03-12T22:51:01Z,Atrium Health Cleveland
"
                                            Estimated Wait Time: 1 hours 4 Minutes
",Atrium,64,2020-03-12T22:51:01Z,"Atrium Health Harrisburg Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:45 Minutes
",Atrium,45,2020-03-12T22:51:01Z,Atrium Health Huntersville
"
                                            Estimated Wait Time: More than 2 hours
",Atrium,NA,2020-03-12T22:51:01Z,"Atrium Health Kannapolis Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:50 Minutes
",Atrium,50,2020-03-12T22:51:01Z,"Atrium Health Kings Mountain, a facility of Atrium Health Cleveland"
"
                                            Estimated Wait Time: 1 hours 2 Minutes
",Atrium,62,2020-03-12T22:51:01Z,Atrium Health Lincoln
"
                                            Estimated Wait Time:23 Minutes
",Atrium,23,2020-03-12T22:51:01Z,"Atrium Health Mercy, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time: 1 hours 4 Minutes
",Atrium,64,2020-03-12T22:51:01Z,Atrium Health Pineville
"
                                            Estimated Wait Time: 1 hours 1 Minutes
",Atrium,61,2020-03-12T22:51:01Z,"Atrium Health SouthPark Emergency Department, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T22:51:01Z,Atrium Health Stanly
"
                                            Estimated Wait Time:31 Minutes
",Atrium,31,2020-03-12T22:51:01Z,Atrium Health Steele Creek
"
                                            Estimated Wait Time: 1 hours 24 Minutes
",Atrium,84,2020-03-12T22:51:01Z,Atrium Health Union
"
                                            Estimated Wait Time:34 Minutes
",Atrium,34,2020-03-12T22:51:01Z,Atrium Health University City
"
                                            Estimated Wait Time:41 Minutes
",Atrium,41,2020-03-12T22:51:01Z,Atrium Health Waxhaw
"
                                            Estimated Wait Time: 1 hours 17 Minutes
",Atrium,77,2020-03-12T22:51:01Z,Carolinas HealthCare System Blue Ridge-Morganton
"
                                            Estimated Wait Time:27 Minutes
",Atrium,27,2020-03-12T22:51:01Z,Carolinas HealthCare System Blue Ridge-Valdese
"
                                            Estimated Wait Time:37 Minutes
",Atrium,37,2020-03-12T22:51:01Z,Carolinas Medical Center
"
                                            Estimated Wait Time:52 Minutes
",Atrium,52,2020-03-12T22:51:01Z,Levine Children's Hospital
57,Mary Washington,57,2020-03-12T22:51:01Z,Lee's Hill Emergency
16,Mary Washington,16,2020-03-12T22:51:01Z,Mary Washington Hospital
13,Mary Washington,13,2020-03-12T22:51:01Z,Stafford Hospital
"
                                            Estimated Wait Time:28 Minutes
",Atrium,28,2020-03-12T23:52:41Z,Atrium Health Anson
"
                                            Estimated Wait Time: 1 hours 1 Minutes
",Atrium,61,2020-03-12T23:52:41Z,Atrium Health Cabarrus
"
                                            Estimated Wait Time:22 Minutes
",Atrium,22,2020-03-12T23:52:41Z,Atrium Health Cleveland
"
                                            Estimated Wait Time: 1 hours
",Atrium,NA,2020-03-12T23:52:41Z,"Atrium Health Harrisburg Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time: 1 hours 43 Minutes
",Atrium,103,2020-03-12T23:52:41Z,Atrium Health Huntersville
"
                                            Estimated Wait Time: More than 2 hours
",Atrium,NA,2020-03-12T23:52:41Z,"Atrium Health Kannapolis Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:30 Minutes
",Atrium,30,2020-03-12T23:52:41Z,"Atrium Health Kings Mountain, a facility of Atrium Health Cleveland"
"
                                            Estimated Wait Time: 1 hours 6 Minutes
",Atrium,66,2020-03-12T23:52:41Z,Atrium Health Lincoln
"
                                            Estimated Wait Time:35 Minutes
",Atrium,35,2020-03-12T23:52:41Z,"Atrium Health Mercy, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time: 1 hours 1 Minutes
",Atrium,61,2020-03-12T23:52:41Z,Atrium Health Pineville
"
                                            Estimated Wait Time: 1 hours 8 Minutes
",Atrium,68,2020-03-12T23:52:41Z,"Atrium Health SouthPark Emergency Department, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T23:52:41Z,Atrium Health Stanly
"
                                            Estimated Wait Time:29 Minutes
",Atrium,29,2020-03-12T23:52:41Z,Atrium Health Steele Creek
"
                                            Estimated Wait Time: 1 hours 2 Minutes
",Atrium,62,2020-03-12T23:52:41Z,Atrium Health Union
"
                                            Estimated Wait Time: 1 hours 24 Minutes
",Atrium,84,2020-03-12T23:52:41Z,Atrium Health University City
"
                                            Estimated Wait Time: 1 hours 2 Minutes
",Atrium,62,2020-03-12T23:52:41Z,Atrium Health Waxhaw
"
                                            Estimated Wait Time:48 Minutes
",Atrium,48,2020-03-12T23:52:41Z,Carolinas HealthCare System Blue Ridge-Morganton
"
                                            Estimated Wait Time:18 Minutes
",Atrium,18,2020-03-12T23:52:41Z,Carolinas HealthCare System Blue Ridge-Valdese
"
                                            Estimated Wait Time: 1 hours 57 Minutes
",Atrium,117,2020-03-12T23:52:41Z,Carolinas Medical Center
"
                                            Estimated Wait Time:31 Minutes
",Atrium,31,2020-03-12T23:52:41Z,Levine Children's Hospital
47,Mary Washington,47,2020-03-12T23:52:40Z,Lee's Hill Emergency
